日期,客户,供应商,产品,采购金额,销售金额,成本,利润,单价,数量,账期天数
2026-01-05,上海甲客户,苏州A供应商,产品A,120000,168000,126000,42000,12.0,10000,45
2026-01-12,北京乙客户,杭州B供应商,产品A,98000,139000,103000,36000,12.7,7700,50
2026-01-18,广州丙客户,宁波C供应商,产品A,88000,124000,93000,31000,11.6,7600,47
2026-02-06,上海甲客户,苏州A供应商,产品A,135000,182000,141000,41000,13.5,10000,48
2026-02-11,北京乙客户,杭州B供应商,产品A,109000,151000,115000,36000,14.2,7700,52
2026-02-15,广州丙客户,宁波C供应商,产品B,85000,112000,90000,22000,8.5,10000,60
2026-03-07,北京乙客户,杭州B供应商,产品A,116000,153000,121000,32000,14.1,8200,55
2026-03-14,上海甲客户,苏州A供应商,产品A,142000,181000,148000,33000,14.9,9500,54
2026-03-20,广州丙客户,宁波C供应商,产品B,92000,121000,98000,23000,9.2,10000,66
2026-03-25,深圳丁客户,苏州A供应商,产品B,78000,103000,83000,20000,8.9,8800,63
2026-04-08,深圳丁客户,苏州A供应商,产品C,143000,176000,151000,25000,15.1,9500,62
2026-04-22,上海甲客户,杭州B供应商,产品A,124000,160000,130000,30000,14.6,8500,52
